"id";"CIF/NIF/NIE";"No Identificacion RII";"Titular";"Denominacion/Rotulo del establecimiento";"Direccion";"Municipio";"Localidad";"Provincia";"CP";"Telefono";"Email";"Fax";"URL";"Actividad Principal";"Descripcion Actividad Principal";"Actividades Secundarias";"Descripcion Actividades Secundarias"
"4431";"E31254124";"15-A-162-00011408";"CARPINTERIA ILUNDAIN ALAYAK";"CARPINTERIA ILUNDAIN ALAYAK";"SANTO DOMINGO 2 BAJO";"VILLAVA/ATARRABIA";"Villava/Atarrabia";"Navarra";"31610";;;;;"16.23";"Fabricación de otras estructuras de madera y piezas de carpintería y ebanistería para la construcción";;
"4432";"E31274913";"15-A-162-00009117";"AZPIROZ BARBERENA I Y AZPIROZ MARTIARENA JI Y N";"AZPIROZ BARBERENA I. Y DOS MAS";"IRUMUGARRETA SN";"LARRAUN";"Albiasu";"Navarra";"31877";;;;;"16.23";"Fabricación de otras estructuras de madera y piezas de carpintería y ebanistería para la construcción";;
"4433";"E31348758";"15-A-257-00009593";"DEL BARRIO IGLESIAS BENITO Y MIGUEL ANGEL";"UTILLAJES BOP SL";"BARRIO BAJO, S/N";"NOÁIN (VALLE DE ELORZ)/NOAIN (ELORTZIBAR)";"Elorz/Elortz";"Navarra";"31470";;;;;"25.73";"Fabricación de herramientas";;
"4434";"E31402043";"15-A-310-00011693";"GUILLEN MAYAYO MARIA JOSE Y LARRAYA CAMINO PEDRO";"LARRAYA CAMINO, PEDRO";"SAN JUAN SN";"OTEIZA";"Oteiza";"Navarra";"31250";;;;;"31.09";"Fabricación de otros muebles";;
"4435";"E31414979";"15-A-251-00011374";"SANCHEZ GARCIA, FRANCISCO";"SANCHEZ GARCIA, FRANCISCO";"URZAINQUI 5 BAJO";"PAMPLONA/IRUÑA";"Pamplona/Iruña";"Navarra";"0";;;;;"25.12";"Fabricación de carpintería metálica";;
"4436";"F20030185";"15-A-252-00011969";"BIURRARENA SOCIEDAD COOPERATIVA";"BIURRARENA S COOP LTDA";"POL BIOEBITARTE";"BAZTAN";"Erratzu";"Navarra";"31714";;;;;"25.29";"Fabricación de otras cisternas, grandes depósitos y contenedores de metal";;
"4437";"F31023377";"15-A-141-00008501";"COOPERATIVA TEXTIL SAN JOSE SCI";"COOPERATIVA TEXTIL MARCILLA COTEXMAR";"LA VICARIA";"MARCILLA";"Marcilla";"Navarra";"31340";;;;;"14.19";"Confección de otras prendas de vestir y accesorios";;
"4438";"F31095136";"15-A-310-00008993";"EGOKI LEITZAKOA SCL";"EGOKI LEITZAKOA S COOP LTDA";"P INDUSTRIAL 4";"LEITZA";"Arkiskil";"Navarra";"31880";;;;;"31.09";"Fabricación de otros muebles";;
"4439";"E31409857";"15-A-251-00011975";"GALDEANO GALDEANO FERMIN Y PAGOLA LOPEZ MARIA ISABEL";"CARPINTERIA DE ALUMINIO FEISA";"CL RAMON Y CAJAL S/N";"ANDOSILLA";"Andosilla";"Navarra";"31261";"948690425";"feisa@carpinteriaaluminiofeisa.com";"948690425";;"25.12";"Fabricación de carpintería metálica";;
"4440";"P3116900F";"15-A-360-00010309";"AYUNTAMIENTO DE MILAGRO";"AYUNTAMIENTO DE MILAGRO";"JOAQUIN CORTI 1";"MILAGRO";"Milagro";"Navarra";"31320";;;;;"36";"Captación, depuración y distribución de agua";;
"4441";"P3138300C";"15-A-360-00009769";"CONCEJO DE BADOSTAIN";"CONCEJO DE BADOSTAIN";"ALZUZA";"EGÜÉS";"Alzuza";"Navarra";"31486";;;;;"36";"Captación, depuración y distribución de agua";;
"4442";"B79083796";"15-A-473-00051490";"GALPGEST PETROGAL ESTACIONES DE SERVICIO SL";"ESTACION DE SERVICIO GALP ALSASUA";"Autovía A1, KM. 402  M.D. (Dirección Irun)";"ALTSASU/ALSASUA";"Altsasu/Alsasua";"Navarra";"31800";"948563020";"A.HERNANDEZ@GALPENERGIA.COM";;;"47.3";"Comercio al por menor de combustible para la automoción en establecimientos especializados";;
"4443";"B23686140";"15-A-473-00012220";"MARTIN LOPEZ CARBURANTES SLU";"MARTIN LÓPEZ CARBURANTES";"CARRETERA N121 KM 17,380";"ANUE";"Burutain";"Navarra";"31798";"948308803";"admin@martinezlopezcarburantes.com";;;"47.3";"Comercio al por menor de combustible para la automoción en establecimientos especializados";;
"4444";"B31031859";"15-A-473-00053330";"ESTACION DE SERVICIO AOIZ SL";"E.S. AOIZ, S.L.";"Ctra Huarte-Arneguy, Km 23,4";"AOIZ/AGOITZ";"Aoiz/Agoitz";"Navarra";"31430";"948303809";"lus@lus.infonegocio.com";"948303772";;"47.3";"Comercio al por menor de combustible para la automoción en establecimientos especializados";;
"4445";"F31097280";"15-A-473-00013556";"AN S COOP";"AN S. COOP. PIENSOS CACECO";"Campo de Tajonar s/n";"ARANGUREN";"Tajonar/Taxoare";"Navarra";"31192";"948299413";"e.miqueleiz@grupoan.com";"948299417";"www.grupoan.com";"47.3";"Comercio al por menor de combustible para la automoción en establecimientos especializados";;
"4446";"B31288962";"15-A-473-00012651";"ESTACION DE SERVICIO NUESTRA SEñORA JERUSALEN SL";"E.S. NUESTRA SEÑORA DE JERUSALEN, S.L.";"Ctra Comarcal Marcilla NA-602 Km 14,100 Margen Izda";"ARTAJONA";"Artajo/Artaxo";"Navarra";"31140";"948364108";"mail@nodisponible.es";;;"47.3";"Comercio al por menor de combustible para la automoción en establecimientos especializados";;
"4447";"B31232341";"15-A-467-00012694";"TALLERES ARRUBLA SL";"TALLERES ARRUBLA, S.L.";"Ctra. Leoz, Km 1";"BARÁSOAIN";"Barásoain";"Navarra";"31395";"948720005";"TARRUBLA@YAHOO.ES";;;"46.71";"Comercio al por mayor de combustibles sólidos, líquidos y gaseosos, y productos similares";;
"4448";"B31692494";"15-A-473-00052274";"JOSENEA SL";"JOSENEA, S.L. (Urdazubi/Urdax)";"Bº DANTZARINEA, CR N-121 B KM 90";"URDAZUBI/URDAX";"Dantxarinea";"Navarra";"31700";"948599090";"info@josenea.es";"948599498";;"47.3";"Comercio al por menor de combustible para la automoción en establecimientos especializados";;
"4449";"B31836125";"15-A-473-00053182";"URTELOR SL";"ESTACIÓN DE SERVICIO URTELOR";"Ctra. N-121 B-P.K. 51,5  Pol. 8, parc. 187";"BAZTAN";"Arraioz";"Navarra";"31794";"0";"mail@nodisponible.es";;;"47.3";"Comercio al por menor de combustible para la automoción en establecimientos especializados";;
"4450";"B71031579";"15-A-473-00053459";"E S ORKOIEN-LA MUGA SL";"E S ORKOIEN-LA MUGA SL";"PG PARQUE EMPRESARIAL LA MUGA Nº 15";"ORKOIEN";"Orkoien";"Navarra";"31160";"629880557";"tomasariztia@hotmail.com";;;"47.3";"Comercio al por menor de combustible para la automoción en establecimientos especializados";;
"4451";"B31912777";"15-A-473-00052869";"TOMAS ARIZTIA SL";"TOMAS ARIZTIA SL";"CARRETERA DEL VILLAR, S/N POLIGONO 1, PARCELA 2607";"CINTRUÉNIGO";"Cintruénigo";"Navarra";"31592";"629880557";"tomasariztia@terra.es";;;"47.3";"Comercio al por menor de combustible para la automoción en establecimientos especializados";;
"4452";"A31413719";"15-A-473-00012012";"GACIZUR SA";"GACIZUR, S.A.";"Autovía A-12 Km 7";"CIZUR";"Gazólaz ";"Navarra";"31190";"948353222";"mail@nodisponible.com";;;"47.3";"Comercio al por menor de combustible para la automoción en establecimientos especializados";;
"4453";"A31038771";"15-A-473-00011794";"AUTOPISTAS DE NAVARRA SA";"AUDENASA - AREA DE MANTENIMIENTO";"AP-15, KM 83";"ARANGUREN";"Tajonar/Taxoare";"Navarra";"31192";"948317661";"j.catalan@audenasa.es";"948318363";;"47.3";"Comercio al por menor de combustible para la automoción en establecimientos especializados";;
"4454";"A78492782";"15-A-473-00053339";"CAMPSA ESTACIONES DE SERVICIO SA";"CEDIPSA E.S. IMARCOAIN IZQ";"Autopista A-15 Tudela-irurzun, Km 75,500";"NOÁIN (VALLE DE ELORZ)/NOAIN (ELORTZIBAR)";"Imárcoain";"Navarra";"31119";"948311567";"mail@nodisponible.es";;;"47.3";"Comercio al por menor de combustible para la automoción en establecimientos especializados";;
"4455";"A78492782";"15-A-473-00053340";"CAMPSA ESTACIONES DE SERVICIO SA";"CEDIPSA E.S. IMARCOAIN DCHO";"Autopista A-15 Tudela-Irurzun, Km 75,500";"NOÁIN (VALLE DE ELORZ)/NOAIN (ELORTZIBAR)";"Imárcoain";"Navarra";"31119";"948312570";"CPINEDOM@REPSOL.COM";;;"47.3";"Comercio al por menor de combustible para la automoción en establecimientos especializados";;
"4456";"B71442974";"15-A-473-00014535";"PETROLAU SL";"E/S  ESTELLA";"Calle Merkatondoa, 32";"ESTELLA/LIZARRA";"Estella/Lizarra";"Navarra";"31200";"948555287";"PETROLAU.S.L@GMAIL.COM";"948555287";;"47.3";"Comercio al por menor de combustible para la automoción en establecimientos especializados";;
"4457";"15735034K";"15-A-473-00013608";"ISTURIZ SANZ ANGEL";"ISTURIZ,SANZ,ANGEL";"BAJA NAVARRA, 1";"ESTELLA/LIZARRA";"Estella/Lizarra";"Navarra";"31001";"999999999";"@";;;"47.3";"Comercio al por menor de combustible para la automoción en establecimientos especializados";;
"4458";"B31025307";"15-A-473-00052732";"CABALLERO HERMANOS SL";"ESTACION DE SERVICIO SAIGOTS";"Ctra Pamplona-Eugui, s/n";"ESTERIBAR";"Zubiri ";"Navarra";"31630";"948304040";"mail@nodisponible.es";"948304040";;"47.3";"Comercio al por menor de combustible para la automoción en establecimientos especializados";;
"4459";"A28018380";"15-A-467-00014707";"EXOLUM CORPORATION SA ";"EXOLUM CORPORATION S.A. ";"Paraje San Babil";"GALAR";"Esparza de Galar";"Navarra";"31191";"948317163";"acuestac@clh.es";"948317564";;"46.71";"Comercio al por mayor de combustibles sólidos, líquidos y gaseosos, y productos similares";;
"4460";"A20004008";"15-A-473-00051731";"VIUDA DE LONDAIZ Y SOBRINOS DE L MERCADER SA";"GASOLEOS ARTAJONA SLU";"Paraje San Babil, 1 Bajo. Polígono 4 - Parcela 540";"GALAR";"Salinas de Pamplona ";"Navarra";"31191";"948143833";"jlabrisketa@londaiz.com";"948144745";;"47.3";"Comercio al por menor de combustible para la automoción en establecimientos especializados";;
"4461";"B71442974";"15-A-473-00052012";"PETROLAU SL";"ESTACION DE SERVICIO HUARTE";"Intxaurdia, 6";"HUARTE/UHARTE";"Huarte/Uharte";"Navarra";"31620";"948330076";"PETROLAU.S.L@GMAIL.COM";"645027426";;"47.3";"Comercio al por menor de combustible para la automoción en establecimientos especializados";;
"4462";"B31882004";"15-A-473-00052567";"ESTACION DE SERVICIO LEGARDA SL";"ESTACIÓN DE SERVICIO LEGARDA, S.L. (MARGEN IZQUIERDA Y DERECHA)";"Autovía El Camino, Km. 16,5";"LEGARDA";"Legarda";"Navarra";"31133";"948344572";"jaime.giron.carter@acciona.es";;;"47.3";"Comercio al por menor de combustible para la automoción en establecimientos especializados";;
"4463";"B31882004";"15-A-473-00052568";"ESTACION DE SERVICIO LEGARDA SL";"ESTACIÓN DE SERVICIO LEGARDA, S.L. (MARGEN IZQUIERDA Y DERECHA)";"Autovía El Camino, Km. 16,5";"LEGARDA";"Legarda";"Navarra";"31133";"948344572";"jaime.giron.carter@acciona.es";;;"47.3";"Comercio al por menor de combustible para la automoción en establecimientos especializados";;
"4464";"15126578F";"15-A-473-00051804";"ALSUA TELLECHEA MARIA ANGELES";"ES RAFAEL MUGICA, S.L.";"Ctra NA-170, kM 1,980";"LEITZA";"Leitza";"Navarra";"31880";"948211250";"alba@atlasasesores.com";"948510186";;"47.3";"Comercio al por menor de combustible para la automoción en establecimientos especializados";;
"4465";"B71026595";"15-A-467-00013610";"GASOLEOS MARISA SL";"GASOLEOS MARISA-S.L.";"Ctra Estella, NA-122,p.k.21,2";"LERÍN";"Lerín";"Navarra";"31260";"948530039";"gasoleosmarisa@terra.es";"948530039";;"47.3";"Comercio al por menor de combustible para la automoción en establecimientos especializados";;
"4466";"B71026595";"15-A-473-00052411";"GASOLEOS MARISA SL";"GASOLEOS MARISA-S.L.";"Ctra Estella, NA-122,p.k.21,2";"LERÍN";"Lerín";"Navarra";"31260";"948530039";"gasoleosmarisa@terra.es";"948530039";;"47.3";"Comercio al por menor de combustible para la automoción en establecimientos especializados";;
"4467";"B71026595";"15-A-467-00013610";"GASOLEOS MARISA SL";"GASOLEOS MARISA-S.L.";"Ctra Estella, NA-122,p.k.21,2";"LERÍN";"Lerín";"Navarra";"31260";"948530039";"gasoleosmarisa@terra.es";"948530039";;"46.71";"Comercio al por mayor de combustibles sólidos, líquidos y gaseosos, y productos similares";;
"4468";"B71026595";"15-A-473-00052411";"GASOLEOS MARISA SL";"GASOLEOS MARISA-S.L.";"Ctra Estella, NA-122,p.k.21,2";"LERÍN";"Lerín";"Navarra";"31260";"948530039";"gasoleosmarisa@terra.es";"948530039";;"46.71";"Comercio al por mayor de combustibles sólidos, líquidos y gaseosos, y productos similares";;
"4469";"E31698426";"15-A-473-00012800";"OYARZABAL ZUBIETA MARIA NIEVES TELLECHEA ZOZAYA JUAN MANUEL";"OYARZABAL ZUBIETA, Mº NIEVES Y TELLECHEA ZOZAYA, JUAN MANUEL";"Albistur, 57";"LESAKA";"Lesaka";"Navarra";"31770";"948637460";"mail@nodisponible.es";;;"47.3";"Comercio al por menor de combustible para la automoción en establecimientos especializados";;
"4470";"B31267487";"15-A-473-00052864";"CARPUY SL";"ESTACIÓN DE SERVICIO DE MILAGRO";"CTRA MILAGRO-AZAGRA, S/N PG. AR-3";"MILAGRO";"Milagro";"Navarra";"31320";"637833551";;;;"47.3";"Comercio al por menor de combustible para la automoción en establecimientos especializados";;
"4471";"B31061534";"15-A-473-00053521";"ESTACION DE SERVICIO BAZTAN SL";"E.S. ABISAL MARINO, SL";"Ctra Irun-Francia, Km 11";"OLÁIBAR";"Olave/Olabe (Capital)";"Navarra";"31799";"948330805";"estacionbaztan@yahoo.es";"948330805";;"47.3";"Comercio al por menor de combustible para la automoción en establecimientos especializados";;
"4472";"B31110653";"15-A-467-00053036";"RICARDO GALDEANO SANCHEZ SL";"RICARDO GALDEANO SANCHEZ - PARQUE DE ALMACENAMIENTO";"CTRA. NA-178 LUMBIER-EZCAROZ KM. 41,78";"ORONZ/ORONTZE";"Oronz/Orontze";"Navarra";"31451";"948556256";"oficinas@combustiblesgaldeano.com";"948890533";;"46.71";"Comercio al por mayor de combustibles sólidos, líquidos y gaseosos, y productos similares";;
"4473";"B48231351";"15-A-473-00052497";"CECOSA HIPERMERCADOS SL";"Gasolinera EROSKI PERALTA";"Ctra NA-128";"PERALTA/AZKOIEN";"Peralta/Azkoien";"Navarra";"31350";"948753478";"s5190@eroski.es";;;"47.3";"Comercio al por menor de combustible para la automoción en establecimientos especializados";;
"4474";"B31568314";"15-A-473-00053516";"ESTACION DE SERVICIO KONTXA SL";"E.S. KONTXA, S.L.";"Ctra N-121-A Km 55,300";"DONEZTEBE/SANTESTEBAN";"Doneztebe/Santesteban";"Navarra";"31740";"948450787";"kontxa@wanadoo.es";"948450787";;"47.3";"Comercio al por menor de combustible para la automoción en establecimientos especializados";;
"4475";"B31225964";"15-A-473-00052037";"ELOMENDI SL";"ECOGASER CIDACOS S.L.";"AVDA. PAMPLONA,  S/N";"TAFALLA";"Tafalla";"Navarra";"31300";"94824858";"ecogaser@ecogaser.com";"948290234";;"47.3";"Comercio al por menor de combustible para la automoción en establecimientos especializados";;
"4476";"B31412380";"15-A-473-00011644";"SAN RAFAEL GESTION SL";"SAN RAFAEL GESTION, S.L.";"Ctra Zaragoza, s/n";"TUDELA";"Tudela";"Navarra";"31500";"948848600";"isabel@zenithoteles.com";"948848601";;"47.3";"Comercio al por menor de combustible para la automoción en establecimientos especializados";;
"4477";"A31679848";"15-A-473-00013166";"EUROCAM LAS LABRADAS SA";"EUROCAM LAS LABRADAS SA";"Polígono Las Labradas, Vial Comunidad Foral de Navarra, manzana 12";"TUDELA";"Tudela";"Navarra";"31500";"948402965";"loly@eurocam.es";"948402235";;"47.3";"Comercio al por menor de combustible para la automoción en establecimientos especializados";;
"4478";"A71008163";"15-A-473-00053243";"ESTACION SERVICIO BARDENAS SA";"ESTACION SERVICIO BARDENAS SA";"IND.LA SERNA CIUDAD AGROALIMENTARIA C/B S/N  ";"TUDELA";"Tudela";"Navarra";"31500";"948415730";"0@0.es";"948415731";;"47.3";"Comercio al por menor de combustible para la automoción en establecimientos especializados";;
"4479";"B31631138";"15-A-473-00014053";"DISTRIBUCIONES Y SERVICIOS EMPRESARIALES ALPE ASOCIADOS SL";"DISTRIBUCIONES Y SERVICIOS EMPRESARIALES ALPE ASOCIADOS, S.L.";"Pol. Ind. Elordi, C/ A-4";"ULTZAMA";"Iraizotz";"Navarra";"31797";"948305306";"mail@nodisponible.es";;;"47.3";"Comercio al por menor de combustible para la automoción en establecimientos especializados";;
"4480";"B31792633";"15-A-473-00052697";"CARBURANTES VALTIERRA SL";"CARBURANTES VALTIERRA, S.L.";"Pol. Ind. Valtierra-Arguedas, Parc 2";"VALTIERRA";"Valtierra";"Navarra";"31514";"948867052";"mail@nodisponible.es";"948407619";;"47.3";"Comercio al por menor de combustible para la automoción en establecimientos especializados";;
"4481";"B31792633";"15-A-467-00051315";"CARBURANTES VALTIERRA SL";"CARBURANTES VALTIERRA, S.L.";"Pol. Ind. Valtierra-Arguedas, Parc 2";"VALTIERRA";"Valtierra";"Navarra";"31514";"948867052";"mail@nodisponible.es";"948407619";;"47.3";"Comercio al por menor de combustible para la automoción en establecimientos especializados";;
"4482";"B31792633";"15-A-473-00052697";"CARBURANTES VALTIERRA SL";"CARBURANTES VALTIERRA, S.L.";"Pol. Ind. Valtierra-Arguedas, Parc 2";"VALTIERRA";"Valtierra";"Navarra";"31514";"948867052";"mail@nodisponible.es";"948407619";;"46.71";"Comercio al por mayor de combustibles sólidos, líquidos y gaseosos, y productos similares";;
"4483";"B31792633";"15-A-467-00051315";"CARBURANTES VALTIERRA SL";"CARBURANTES VALTIERRA, S.L.";"Pol. Ind. Valtierra-Arguedas, Parc 2";"VALTIERRA";"Valtierra";"Navarra";"31514";"948867052";"mail@nodisponible.es";"948407619";;"46.71";"Comercio al por mayor de combustibles sólidos, líquidos y gaseosos, y productos similares";;
"4484";"A78492782";"15-A-473-00053317";"CAMPSA ESTACIONES DE SERVICIO SA";"CAMPSA EESS, S.A.-E.S. VALTIERRA IZQ";"Autopista A-15 Tudela-Irurzun, Km 15,500";"VALTIERRA";"Valtierra";"Navarra";"31514";"948867519";"vc.gutierrez@repsol.com";;;"47.3";"Comercio al por menor de combustible para la automoción en establecimientos especializados";;
"4485";"A78492782";"15-A-473-00053316";"CAMPSA ESTACIONES DE SERVICIO SA";"CAMPSA EESS, S.A.-E.S. VALTIERRA DCHA";"Autopista A-15 Tudela-Irurzun, Km 15,500";"VALTIERRA";"Valtierra";"Navarra";"31514";"948867570";"CPINEDOM@REPSOL.COM";;;"47.3";"Comercio al por menor de combustible para la automoción en establecimientos especializados";;
"4486";"B31818032";"15-A-473-00051706";"IBARDIN AZPIEGITURA ETA ZERBITZUAK SL";"IBARDIN AZPIEGITURA ETA ZERBITZUAK, S.L.";"Iparraldea Karrika, 5";"BERA";"Bera";"Navarra";"31780";"948625992";"mail@nodisponible.es";;;"47.3";"Comercio al por menor de combustible para la automoción en establecimientos especializados";;
"4487";"A78492782";"15-A-473-00051484";"CAMPSA ESTACIONES DE SERVICIO SA";"ESTACIÓN DE SERVICIO ARTICA";"Ctra Artica s/n";"BERRIOPLANO";"Artica/Artika";"Navarra";"31013";"948870830";"no@disponible.com";"948870830";;"47.3";"Comercio al por menor de combustible para la automoción en establecimientos especializados";;
"4488";"B31619430";"15-A-473-00052414";"SERVIFRIO IRUñA SL";"SERVIFRIO IRUÑA, S.L.";"Pol. Ind. Agustinos, C/E, 4";"BERRIOPLANO";"Berrioplano/Berriobeiti";"Navarra";"31195";"948351010";"edurardo@transportescruz.com";"948215115";;"47.3";"Comercio al por menor de combustible para la automoción en establecimientos especializados";;
"4489";"B95255071";"15-A-473-00052404";"INTRANSPORT SERVICE XXI SL";"AVIA M.D.";"CR NA-121 Km 9,400 (Margen Dcho)";"BERIÁIN";"Beriáin";"Navarra";"31191";"948310169";"ricardo@grupoberiain.net";"948312292";;"47.3";"Comercio al por menor de combustible para la automoción en establecimientos especializados";;
"4490";"B71053763";"15-A-473-00053577";"PETROZALAIN SL";"E.S. BERA-YCHOUX DOSMIL, SL";"Pgno. Ind. Zalain-Parc.5-Local 1 A-IP 6";"BERA";"Bera";"Navarra";"31780";"669486777";"petrozalain@hotmail.es";;;"47.3";"Comercio al por menor de combustible para la automoción en establecimientos especializados";;
"4491";"F31259633";"15-A-473-00053191";"SOCIEDAD COOPERATIVA LOS REMEDIOS";"SDAD. COOP. LOS REMEDIOS DE SESMA";"CAMINO DE MENDAVIA S/N";"SESMA";"Sesma";"Navarra";"31293";"948662101";;"948662162";;"47.3";"Comercio al por menor de combustible para la automoción en establecimientos especializados";;
"4492";"B31665383";"15-A-473-00052601";"AN ENERGETICOS SL";"AN ENERGETICOS - OLITE";"POL. IND. LA NAVA, C/1 PARC. D1-D2";"OLITE/ERRIBERRI";"Olite/Erriberri";"Navarra";"31390";"948701709";"energeticos@grupoan.com";;;"47.3";"Comercio al por menor de combustible para la automoción en establecimientos especializados";;
"4493";"B31665383";"15-A-473-00014385";"AN ENERGETICOS SL";"AN ENERGÉTICOS - MÉLIDA";"Polígono Bajo Aragón, s/n";"MÉLIDA";"Mélida";"Navarra";"31382";"651885055";"energeticos@grupoan.com";;;"47.3";"Comercio al por menor de combustible para la automoción en establecimientos especializados";;
"4494";"B31665383";"15-A-473-00052252";"AN ENERGETICOS SL";"AN ENERGÉTICOS - MÉLIDA";"Polígono Bajo Aragón, s/n";"MÉLIDA";"Mélida";"Navarra";"31382";"651885055";"energeticos@grupoan.com";;;"47.3";"Comercio al por menor de combustible para la automoción en establecimientos especializados";;
"4495";"B31665383";"15-A-473-00053250";"AN ENERGETICOS SL";"AN ENERGÉTICOS - LESAKA";"Polígono Alkaiaga. C/ Banarta, 18";"LESAKA";"Lesaka";"Navarra";"31770";"629435561";"garraiketak.@gmail.com";;;"47.3";"Comercio al por menor de combustible para la automoción en establecimientos especializados";;
"4496";"B31665383";"15-A-473-00014336";"AN ENERGETICOS SL";"GASOLINERA ABLITAS";"CAMINO RIBAFORADA, S/N";"ABLITAS";"Ablitas";"Navarra";"31523";"999999999";"energeticos@grupoan.com";;;"47.3";"Comercio al por menor de combustible para la automoción en establecimientos especializados";;
"4497";"B31665383";"15-A-473-00052870";"AN ENERGETICOS SL";"GASOLINERA ANDOSILLA";"Ctra. Eje del Ebro, Km. 55";"ANDOSILLA";"Andosilla";"Navarra";"31261";"948674010";"belizalde@bodegasansebastian.com";;;"47.3";"Comercio al por menor de combustible para la automoción en establecimientos especializados";;
"4498";"B31665383";"15-A-473-00053500";"AN ENERGETICOS SL";"GASOLINERA DE ARTAJONA";"Avda. San Isidro Labrador, 15";"ARTAJONA";"Artajo/Artaxo";"Navarra";"31140";"948364189";"javi@coopartajona.es";;;"47.3";"Comercio al por menor de combustible para la automoción en establecimientos especializados";;
"4499";"B31665383";"15-A-473-00052229";"AN ENERGETICOS SL";"GASOLINERA DE BERBINZANA";"Ctra. Miranda de Arga, s/n";"BERBINZANA";"Berbinzana";"Navarra";"31252";"948722275";"berbinzana@ucan.es";;;"47.3";"Comercio al por menor de combustible para la automoción en establecimientos especializados";;
"4500";"B31665383";"15-A-467-00052178";"AN ENERGETICOS SL";"GASOLINERA DE CARCASTILLO";"Avda. de Aragón, 50";"CARCASTILLO";"Carcastillo";"Navarra";"31310";"948725209";"arevuelta@coopcarcastillo.com";;;"46.71";"Comercio al por mayor de combustibles sólidos, líquidos y gaseosos, y productos similares";;
"4501";"B31665383";"15-A-473-00052179";"AN ENERGETICOS SL";"GASOLINERA DE CARCASTILLO";"Avda. de Aragón, 50";"CARCASTILLO";"Carcastillo";"Navarra";"31310";"948725209";"arevuelta@coopcarcastillo.com";;;"46.71";"Comercio al por mayor de combustibles sólidos, líquidos y gaseosos, y productos similares";;
"4502";"B31665383";"15-A-467-00052178";"AN ENERGETICOS SL";"GASOLINERA DE CARCASTILLO";"Avda. de Aragón, 50";"CARCASTILLO";"Carcastillo";"Navarra";"31310";"948725209";"arevuelta@coopcarcastillo.com";;;"47.3";"Comercio al por menor de combustible para la automoción en establecimientos especializados";;
"4503";"B31665383";"15-A-473-00052179";"AN ENERGETICOS SL";"GASOLINERA DE CARCASTILLO";"Avda. de Aragón, 50";"CARCASTILLO";"Carcastillo";"Navarra";"31310";"948725209";"arevuelta@coopcarcastillo.com";;;"47.3";"Comercio al por menor de combustible para la automoción en establecimientos especializados";;
"4504";"B31665383";"15-A-473-00013607";"AN ENERGETICOS SL";"GASOLINERA DE FUNES";"Polígono Sardinilla, s/n";"FUNES";"Funes";"Navarra";"31360";"948754535";"coopsantiago@ucan.es";;;"47.3";"Comercio al por menor de combustible para la automoción en establecimientos especializados";;
"4505";"B31665383";"15-A-473-00052693";"AN ENERGETICOS SL";"GASOLINERA DE LARRAGA - SAN ISIDRO";"Ctra. Lerín, s/n";"LARRAGA";"Larraga";"Navarra";"31251";"948711060";"coop.larraga@gmail.com";;;"47.3";"Comercio al por menor de combustible para la automoción en establecimientos especializados";;
"4506";"B31665383";"15-A-473-00052233";"AN ENERGETICOS SL";"AN ENERGETICOS SL -LARRAGA LA UNIÓN";"CUESTA DE LOS PINOS S/N";"LARRAGA";"Larraga";"Navarra";"31251";"948711550";"javi@coopartajona.es";;;"47.3";"Comercio al por menor de combustible para la automoción en establecimientos especializados";;
"4507";"B31665383";"15-A-473-00014030";"AN ENERGETICOS SL";"GASOLINERA DE RIBAFORADA";"Polígono 5, Parcela 2011";"RIBAFORADA";"Ribaforada";"Navarra";"31550";"948864086";"administracion@agricolasanblas.com";;;"47.3";"Comercio al por menor de combustible para la automoción en establecimientos especializados";;
"4508";"B31665383";"15-A-473-00051893";"AN ENERGETICOS SL";"GASOLINERA DE TAFALLA";"Camino de Miranda, s/n";"TAFALLA";"Tafalla";"Navarra";"31300";"948701463";"gerencia.lasarda@gmail.com";;;"47.3";"Comercio al por menor de combustible para la automoción en establecimientos especializados";;
"4509";"B31665383";"15-A-473-00052176";"AN ENERGETICOS SL";"GASOLINERA DE TUDELA";"Ctra. Corella, Km. 1,5";"TUDELA";"Tudela";"Navarra";"31500";"948403308";"l.malo@grupoan.com";;;"47.3";"Comercio al por menor de combustible para la automoción en establecimientos especializados";;
"4510";"B31665383";"15-A-473-00052514";"AN ENERGETICOS SL";"GASOLINERA DE VALTIERRA";"CTRA. TUDELA, Nº 8";"VALTIERRA";"Valtierra";"Navarra";"31514";"948867003";"gerencia@agricolalaesperanza.es";;;"47.3";"Comercio al por menor de combustible para la automoción en establecimientos especializados";;
"4511";"B31665383";"15-A-473-00014029";"AN ENERGETICOS SL";"AN ENERGETICOS, S.L.";"AGUADORES, S/N";"CORTES";"Cortes";"Navarra";;;;;;"47.3";"Comercio al por menor de combustible para la automoción en establecimientos especializados";;
"4512";"A31232309";"15-A-473-00051653";"PAMPLONA DISTRIBUCION SA";"GASOLINERA E.LECLERC";"BARRIO LA MOREA, S/N";"GALAR";"Cordovilla";"Navarra";;;;;;"47.3";"Comercio al por menor de combustible para la automoción en establecimientos especializados";;
"4513";"A50008150";"15-A-473-00053397";"SUPERMERCADOS SABECO SA";"EES SABECO (ESTELLA)";"Carlos VII, Sector B";"ESTELLA/LIZARRA";"Estella/Lizarra";"Navarra";"31200";"948553200";"sespinachs@tega.es";;;"47.3";"Comercio al por menor de combustible para la automoción en establecimientos especializados";;
